feature,importance
click,0.5206402431505394
campaign_perf,0.12384318540371894
cost_quartile,0.10156732961867594
cpo,0.09736645020383726
cat1,0.07259620220912158
cat4,0.02680829585382735
cost,0.025560326966270093
campaign,0.008362705617719115
cat5,0.006959631630693587
cat3,0.005651288610142151
